LOGISTA France n°01,"Camel Pipe Tobacco Coupe Large (boîte carrée), en 67 g",20,20
LOGISTA France n°01,"Winston Pipe Tobacco Coupe Large (boîte carrée), en 35,5 g",10,10
LOGISTA France n°01,"Big Ben ice coupe large (pot), en 50 g","12,5","12,5"
LOGISTA France n°01,"Big Ben coupe large (blague), en 20 g","4,4","4,4"
LOGISTA France n°01,"Big Ben coupe large (blague), en 25 g","5,5","5,5"
LOGISTA France n°01,"Big Ben coupe large (blague), en 30 g","6,6","6,6"
LOGISTA France n°01,"Big Ben coupe large (pot), en 50 g",11,11
LOGISTA France n°01,"Big Ben coupe large (pot), en 70 g","15,4","15,4"
LOGISTA France n°01,"Big Ben ice coupe large (blague), en 30 g","7,5","7,5"
LOGISTA France n°01,"Big Ben ice coupe large (pot), en 70 g","17,5","17,5"
LOGISTA France n°01,"Big Ben ice coupe large, en 30 g","7,5","7,5"
LOGISTA France n°01,"Bistro, en 30 g",8,8
LOGISTA France n°01,"Bistro, en 40 g","10,65","10,65"
LOGISTA France n°01,"Bistro Noir, en 40 g","10,65","10,65"
LOGISTA France n°01,"Bistro Noir, en 30 g",8,8
LOGISTA France n°01,"Brookfield n°1, en 50 g","13,2","13,2"
LOGISTA France n°01,"Chevalier, en 30 g","7,8","7,8"
LOGISTA France n°01,"Golden blend's n°1, en 50 g",14,14
LOGISTA France n°01,"Golden blend's n°2, en 50 g",14,14
LOGISTA France n°01,"Golden blend's n°3, en 50 g",14,14
LOGISTA France n°01,"J B R Adventure, en 50 g","13,2","13,2"
LOGISTA France n°01,"Radford's Caribbean blend, en 50 g","13,3","13,3"
LOGISTA France n°01,"Radford's Scottish blend, en 50 g","13,3","13,3"
LOGISTA France n°01,"Thomas Radford Sunday's Fantasy, en 50 g","16,3","16,3"
LOGISTA France n°01,"7 Seas original blend, en 40 g","12,5","12,5"
LOGISTA France n°01,"7 Seas regular blend, en 40 g","12,5","12,5"
LOGISTA France n°01,"7 Seas Royal blend, en 40 g","12,5","12,5"
LOGISTA France n°01,"Classic Loose Cut, en 50 g","15,9","15,9"
LOGISTA France n°01,"Mixture, en 50 g","15,9","15,9"
LOGISTA France n°01,"Original Choice tabac à pipe, en 40 g","15,8","15,8"
LOGISTA France n°01,"News Large Cut XL (pochette), en 75 g","18,9","18,9"
